conflict_id,year,latitude,longitude,coder
234,2021,31.296999,34.243439,Tyler
236,1950,31.16699982,97.23300171,Helge Holtermann
236,1956,30.03300095,100.75,Helge Holtermann
236,1959,29.64999962,91.09999847,Helge Holtermann
237,1950,-3.400000095,126.6666031,Helge Holtermann
238,1950,18.206566,-66.593759,Tyler
239,1951,30.599318,32.274677,Tyler
240,1951,13.75,100.5166702,Helge Holtermann
240,1974,17.29999924,103.8000031,Helge Holtermann
241,1952,-1.293946,36.823242,Tyler
242,1953,20.02472305,-75.82194519,Helge Holtermann
242,1956,19.89999962,-77.51670074,Helge Holtermann
242,1961,22.18000031,-81.16638947,Helge Holtermann
243,1953,4.570000172,96.98999786,Helge Holtermann
243,1958,0.533299983,101.4499969,Helge Holtermann
244,1953,33.576565,-7.583428,Tyler
245,1953,36.811302,10.140933,Tyler
246,1954,36.728992,3.120196,Tyler
247,1955,-34.58750153,-58.67250061,Helge Holtermann
247,1963,-34.58750153,-58.67250061,Helge Holtermann
247,1974,-31.42187,-64.192531,Tyler
248,1955,35.162021,33.358682,
249,1955,10.75,106.6666641,Helge Holtermann
250,1956,47.496784,19.038409,Tyler
251,1956,26,94.25,Helge Holtermann
251,1961,25.51345,94.220476,Tyler
251,1992,26,94.25,Helge Holtermann
251,2000,25.847024,93.437332,Tyler
252,1956,29.983775,32.650856,Tyler
253,1957,19.25,97.5,Helge Holtermann
253,1987,19.227544,97.270147,Tyler
253,1992,19.25,97.5,Helge Holtermann
253,1996,19.25,97.5,Helge Holtermann
253,2005,19.29999924,97.80000305,Helge Holtermann
253,2021,19.48675,97.14581,Tyler
254,1957,4.064565,9.764478,Tyler
255,1957,15.009918,-84.260425,Tyler
256,1957,27.664625,-11.091098,Tyler
257,1957,27.664625,-11.091098,Tyler
258,1957,22.93333244,57.53333282,Helge Holtermann
259,1958,33.33860016,44.39390182,Helge Holtermann
259,1963,33.33860016,44.39390182,Helge Holtermann
259,1982,33.33860016,44.39390182,Helge Holtermann
259,1987,33.265459,44.374553,Tyler
259,1991,30.49419975,47.81919861,Helge Holtermann
259,2004,31.89999962,46.09999847,Helge Holtermann
260,1958,34.5,36.09999847,Helge Holtermann
260,1975,33.87194443,35.50972366,Helge Holtermann
260,1982,33.850782,35.714477,Tyler
260,1989,33.871944,35.509722,Tyler
261,1958,3.5,102.25,Helge Holtermann
261,1974,4,102,Helge Holtermann
261,1981,4,102,Helge Holtermann
262,1959,20.5,104,Helge Holtermann
262,1963,20.5,104,Tyler
262,1989,21,102,Helge Holtermann
263,1961,-8.822306,13.236213,Tyler
264,1959,16.78300095,96.16699982,Helge Holtermann
264,1972,-9999,-9999,Tyler
264,1976,21.18300056,100.3669968,Helge Holtermann
264,1993,22,98,Helge Holtermann
264,2005,22,98,Helge Holtermann
264,2013,22.547101,98.124877,Tyler
264,2015,21.919271,98.132189,Tyler
265,1961,-9.907205,26.679465,Tyler
265,2013,-11.666667,27.466667,Tyler
265,2020,-11.666667,27.466667,Tyler
266,1960,-4,24,Helge Holtermann
267,1960,9.0333004,38.70000076,Helge Holtermann
267,1976,14.16660023,38.83332825,Helge Holtermann
267,2020,14.341427,39.228984,Tyler
268,1964,9.599471,43.334456,Tyler
268,1977,6.710615,43.525419,Tyler
268,1980,6.710615,43.525419,Tyler
269,1960,27.690758,85.327887,Tyler
269,1996,28.41667,82.75,Tyler
270,1961,36.76300049,3.051000118,Helge Holtermann
271,1961,37.0933342,43.48722076,Helge Holtermann
271,1973,37,44,Helge Holtermann
271,1995,34.683333,44.966667,Tyler
272,1961,37.277451,9.861286,Tyler
273,1962,4.614963,114.334523,Tyler
274,1962,28.208857,94.740935,Tyler
274,1967,-9999,-9999,Tyler
274,2020,33.599399,78.646328,Tyler
275,1964,15.10572,37.583533,Tyler
276,1962,-3.958494,137.751458,Tyler
277,1962,10.47305584,-68.01249695,Helge Holtermann
277,1982,-9999,-9999,Tyler
277,1992,10.5,-66.91666412,Helge Holtermann
278,1963,32.250429,-1.422133,Tyler
279,1963,11.257706,-15.24924,Tyler
280,1963,4,115.25,Helge Holtermann
281,1963,2.414366,113.126044,Tyler
282,1963,5,31.5,Helge Holtermann
283,1964,-3.406699896,29.14579964,Helge Holtermann
283,1967,-1.822173,23.985613,Tyler
283,1977,-9,26,Helge Holtermann
283,1996,-3.41666007,29.16666031,Helge Holtermann
283,2005,0.28682,29.18456,Tyler
283,2011,-4.983333,29.116667,Tyler
283,2016,-6.248477,22.942309,Tyler
284,1964,0.383300006,9.449999809,Helge Holtermann
285,1964,-12.441636,39.289353,Tyler
286,1964,14.699071,44.655498,Tyler
287,1965,-3.376100063,29.36000061,Helge Holtermann
287,1991,-3.099999905,29.39999962,Helge Holtermann
287,1994,-2.883333,29.25,Tyler
287,2008,-3.33,29.25,Johan Dittrich Hallberg
287,2014,-2.8936,29.2337,Tyler
287,2019,-3.12366,28.997599,Tyler
288,1966,18.908173,19.324964,Tyler
